Barcode,Name,Price
5285000204961,agave syrup 210g,12.75
5285000204930,agave syrup 350g,17.5
5285000204947,agave syrup 420g,21
5285000200369,rice syrup 420g,12.5
5285000205456,Strawberry Date Bar 40g,7
5285000205449,Sesame Date Bar 40g,7.75
5285000205432,Banana Date Bar 40g,7
5285000205463,Granola Date bar 40g,7.75
5285000205494,Peanut Butter Chocolate Bar 40g,8.5
5285000205470,Peanut Butter Mixed Berries Bar 40g,8.5
5285000205487,Peanut Butter Coconut Bar 40g,8.5
5285000205448,Sesame Bar 40g,7.75
5285000200345,coffee 90g,23
5285000206613,fruity granola 160g,18
5285000206590,lemon granola 160g,16
5285000206477,raisin granola 160g,16
5285000206460,spicy granola 160g,16
5285000206569,zaatar granola 160g,16
5285000200239,Peanut Butter Cocoa Porridge 60g,9
5285000200222,Apple Tumeric Porridge 60g,9
5285000200192,Coconut Milk Porridge 60g,9
5285000200208,Forest Fruit Porridge 60g,9
5285000202158,Apple Spice Porridge 60g,9
5285000201205,Peanut Butter Cocoa Porridge 400g,34
5285000201199,Apple Tumeric Porridge 400g,34
5285000201168,Coconut Milk Porridge 400g,34
5285000201175,Forest Fruit Porridge 400g,34
5285000201182,Apple Spice Porridge 400g,34
5285000200109,Crunchy Honey Almond Granola 300g,34
5285000200123,Crunchy Granola Chocolate 300g,34
5285000200130,Strawberry Cornflakes Granola 300g,34
5285000200116,Crunchy Granola Peanut Butter 300g,34
5285000201519,Organic Zaatar Granola 320g,27
5285000201137,Organic Original Granola 320g,27
5285000201489,Organic Four Cereals 400g,8
5285000201465,Organic Instant Oats 400g,8
5285000201472,Organic GF  Instant Oats 400g,10.5
5285000201502,Organic GF Rolled Oats 400g,10.5
5285000201496,Organic Rolled Oats 400g,8
5285000200475,FD organic raspberry whole ,18
5285000200482,FD organic raspberry crumble,28
5285000200505,FD organic w. blackberry powder,56
5285000200529,FD mixed forest fruits whole,29
5285000200536,FD mixed forest fruit powder,66
5285000200543,FD apricot pieces,21
5285000200567,FD sourcherry whole,19
5285000200574,FD sourcherry pieces,18
5285000200642,Organic Sundried Pineapple,19
5285000200659,Organic Sundried Banana,29
5285000200666,Organic Sultan Raisins,8
5285000200673,Organic Sundried Carnberry,26
5285000200680,Organic Sundried Blueberry,55
5285000200697,Organic Apricot ,12
5285000200703,Organic Cashew,40
5285000200710,Organic Hazelnut,48
5285000200727,Organic Pistacho,59
5285000200734,Organic Almond,26
5285000203186,Havana Mix 35g,7.25
5285000203193,Energy Pack 35g,7.25
5285000203209,Focus Apple 35g,7.25
5285000200321,raisin cookies 40g,6.75
5285000200338,chocochips cookies 40g,6.75
5285000205418,crunchy annes fingers 130g,8.5
5285000205425,crunchy coconut fingers 130g,8.5
5285000205401,crunchy zaatar fingers 130g,8.5
5285000205388,date fingers 160g,10
5285000205371,super seed grissini 200g,14.5
5285000205364,zaatar grissini 200g,14.5
5285000200444,Organic Seeds Flat Bread 150g,13.75
5285000200437,Organic Zaatar Flat Bread 140g,13.75
5285000200451,Organic Rosemary Flat Bread 140g,13.75
5285000200284,Organic and Gluten free All Purpose Flour,16.75
5285000200291,Organic and Gluten free Bread Mix,16.75
5285000200307,Organic and Gluten free Muffin Mix,17.5
5285000200314,Organic and Gluten free Chocolate Fudge Brownie Mix,18.75
5285000200932,Organic Brownie,24.5
5285000200758,Organic Banana Muffin,17.5
5285000201236,Organic Zaatar Manakeash,12.5
5285000201243,Cheese Manakeash,12.5
5285000200857,Organic Chocolate Muffine,17.5
5285000200796,Organic peanut Butter chocolate Cake,24.5
5285000205128,coconut chips natural 100g,7.75
5285000205135,coconut chips toasted 100g,7.75
5285000205104,coconut oil 200ml,18.25
5285000205111,coconut oil 500ml,30.25
5285000205098,coconut sugar 350g,15
5285000204978,desiccated coconut 100g,7.75
5285000205074,organic coconut flour 400g,11.25
5285000205777,earl grey 30g,9
5285000205760,english breakfast tea 30g,7.75
5285000205784,green tea 30g,7.75
5285000201014,smooth peanut butter dark chocolate 300g,34
5285000201007,smooth peanut butter milk chocolate 300g,34
5285000200277,peanut butter crunchy 300g,26.5
5285000200253,peanut butter smooth 300g,26.5
5285000205050,tahini 425g,16.5
482,Organic Smooth Cashew Butter,40
5285000201083,Organic Hazelnut Chocolate butter,55
5285000201090,Organic Almond Butter,36
5285000200383,organic rice milk powder 330g,6.5
5285000200390,organic white rice flour 500g,16
5285000200406,potato starch 250g,7.5
5285000200376,tapioca starch 200g,5
5285000204916,chia seeds shots,18
5285000205807,blond flax seeds,15.5
5285000205814,brown flax seeds,14.75
5285000205821,sunflower seeds,15
5285000205838,pumpkin seeds,36.5
5285000205845,red split lentil seeds,18.75
5285000205852,green lentil seeds,25
5285000205869,brown lentil seeds,18
5285000205876,sesame Seeds,18.25
5285000205883,whole grain long brown rice,17.25
5285000205890,whole grain short brown rice,15.25
5285000205906,white quinoa,29
5285000205913,red quinoa,30
5285000205920,black quinoa,29
5285000205937,tricolor quinoa,29
5285000205944,black chia seeds,29
5285000204824,black quinoa 340g,16.5
5285000200871,brown flax 500g,10.5
5285000204299,blond flax 500g,11.5
5285000204817,red quinoa 340g,17
5285000204831,tricolor quinoa 340g,16.5
5285000204510,white quinoa 340g,16.5
5285000204503,white quinoa 500g,27.5
5285000200802,chic peas 500g,10.75
5285000200819,brown lentils 500g,8.75
5285000200789,green lentils 500g,13.5
5285000200161,hulled sesame seed 500g,19.95
5285000204305,red split lentils 500g,10.75
5285000200260,pumpkin seeds 500g,35
5285000204527,pumpkin seeds 340g,24.75
5285000200840,sunflower seeds 500g,11.25
5285000204398,black chia seeds 200g,19.75
5285000204220,whole grain short brown rice 500g,10.5
5285000200062,whole grain short brown rice 1000g,21
5285000204213,whole grain long brown rice 500g,23.5
5285000204329,cane sugar 500g,6
5285000204282,cane sugar 1000g,10.5
5285000204114,coconut chips natural 150g,11.5
5285000204107,coconut chips toasted 150g,11.5
5285000204121,desiccated coconut 200g,15.5
5285000204480,4 cereal flakes 500g,7.75
5285000204862,gf oat flakes 500g,9.75
5285000204435,instant oat flakes 500g,7.75
5285000204428,oat flakes 500g,7.75
8717496903938,Pasta sauce arrabiata 340g,16
8717496905208,Pasta sauce basilico 340g,16.25
8717496904348,bolognese vegetariana 340g,17.75
8717496903976,Pasta sauce Olive 340g,17.75
8712153627103,Passata Org LBI,12
8717496900029,Passata Rustica Org,13.5
8712153270903,Passata Basilico Org,12.25
8712153027118,organic 22% 100g,7
8717496907097,organic 28/30% 70g,4
8015602000114,Slow Dried Sicilian Pasta Conchiglie,12
8718976016025,red lentil fusilli 500g,21
8015602000077,spaghetti 500g,8
8015602000039,spaghetti whole wheat 500g,9
8015602000015,tricolor fusilli 500g,10.25
8015602000107,fusilli whole wheat 500g,9
8015602000022,gomitini whole wheat 500g,8
8717496900142,Chickpeas tins LBI,8.25
8717496906205,Organic chopped Tomato Basilico,8.25
8717496900425,Lentils tins LBI,8.25
8712153027187,Original ketchup 330g,14.75
5606404141605,atlantis sea salt fine 1000g,6
5606404141636,atlantis sea salt coarse 1000g,6
4792059022077,coconut cream 400ml,8.5
4792059022053,coconut milk 400ml,8.5
4792059021025,pineapple chucks 355g,9.9
